,Text,Emotion
15920,i also have an amazing community of friends and artists that i feel accepted by and with whom i know i belong,joy
15921,im feeling gently hesitant about posting these photos because this time the race slapped do not copy on every picture,fear
15922,i am constantly on tumblr feel free to follow my poetry blog riotousrambling,joy
15924,i feel to write something is making me reluctant,fear
15925,i feel fine ep w ps odeon spain us,joy
15926,i am feeling generous and i might be giving away a disney gift card on this blog,joy
15927,i feel it is not environmentally friendly any longer to produce these as books and second it is much easier to spread them around as files over the internet,joy
15928,i feel beaten up worked over,sadness
15929,im feeling ok other than the raging hormones,joy
15930,i feel quite honored to exhibit my work in portugal especially within the critical and philosophical context of the god factor project said west,joy
15931,i miss lev and i didnt think that i would cos lately at school weve been rubbing eachother the bad directions i think but i feel as if break is serving as a splendid cleansing time,joy
15934,i feel quite idiotic but whatever,sadness
15935,im better than the rest of you feeling but a feeling of being accepted,love
15937,i feel like an ungrateful bitch because of what i made you see,sadness
15940,i get the feeling that i m totally isolated from them all and that they talk about me and my low self esteem behind my back and how they don t think much of me and how i m kind of a killjoy sometimes and how disappointed they must be because of the failure that i am,sadness
15941,i was working at a certain place and everyday after work dad would come to pick me up one day he did not come,fear
15942,i believe the most readers feel impressed by the individual journey,surprise
15943,i only have to think about a high school experience and i instantly feel like that shy confused and terrorised teenager again,fear
15944,i was already feeling kind of frantic and upset because im spending another year in that god forsaken school,fear
15945,i reply i do my best to reply to questions but feel free to contact me via twitter isobelmeg xx,joy
15946,i feel truly delighted doing had already changed in such a short period of time,joy
15947,i have a feeling this is going to be really long and obnoxious,anger
15948,i feel energetic so we are going to take a hike,joy
15949,im feeling rather cranky and impatient with my little one,anger
15951,i feel insulted that i was the victim in this triangle,anger
15952,i squirmed against it but the pain was starting to get to him so he stopped feeling resigned,sadness
15953,i could feel my calf muscles starting to get grouchy and i had a cramp around my ribcage,anger
15954,i shouldnt feel altogether mellow,joy
15955,i was feeling very inspired to get some work done,joy
15957,i feel there is going to be a sequel and i would have liked to have had the closure of this book ending,love
15958,i am from feeling like a citizen i feel more welcomed here in japan as an english teacher than in my home country as a black person,joy
15959,im really lucky to have him as my partner and im really trying hard not to keeping myself busy with other tasks but im really feeling disheartened right now,sadness
15960,i am walking around feeling quite tortured because i spent so many hours on it and it is still not finished but i have learned a few things,anger
15961,i can understand feeling uncertain about the abc link,fear
15962,i love what i do and i feel so blessed and lucky to be able to travel and be creative and meet amazing people and wake up every day loving my job,love
15963,i was more annoyed with the info dump because it made the book too long but i feel i ll miss something if i skipped it which annoyed me more pages,anger
15964,im not sure how my parents are feeling about this but my grandparents manchester ones aunty and uncle are ecstatic for me,joy
15965,i still feel devastated and disconsolate,sadness
15966,i have a feeling im going to be heartless,anger
15967,i was feeling a bit discouraged and her words really hit home,sadness
15968,i can only feel sympathy for you if you are suffering,sadness
15969,i have to admit im feeling pretty overwhelmed,surprise
15973,i am feeling much like the guy in the pic above a little overwhelmed and starved for time but very delighted to be making new work and preparing my little florida bungalow for thanksgiving guests this weekend,surprise
15974,i inspect samples of wheat i started feeling that i was a suspicious character,fear
15976,i often find my self feeling offended myself when i hear people who i believe to be otherwise brilliant people following what i consider odd superstitions and strange rituals,anger
15977,i remember waking up feeling anxious and excited to read the bible its amazing how god will change your desires,fear
15978,i have writer s block or feel too apprehensive about writing the next scene i copy and paste the part i m at into a new document so i can write freely without feeling that it s set in stone in my saved manuscript,fear
15979,i need to work on better nutrition all the time because when i do i feel amazing,joy
15980,i dont even know what i am going to write about but the wines been flowing and the dining rooms are playing on pandora so i am feeling cosmopolitian and artistic tonight,joy
15982,im still feeling all wimpy it may be another skip around,fear
15983,im feeling a tad bit gracious,joy
15984,i feel i feel fantastic,joy
15985,i had a horrible horrible horrible time and honestly this music the monkees was one of the few things that made me feel truly happy and right now i m tearing up which is stupid because yes i am feeling happy,joy
15986,i feel energized but i find that i am much more outgoing and friendly,joy
15987,i feel pathetic because im still single,sadness
15988,i need to do this that and the other for college by such and such a date because for the past four years ive always felt like ive been needing to do something college based and now i dont but i still have that feeling its really weird i feel almost guilty in fact,surprise
15989,i feel really glad that i dont look like the celebrities out there that are so beautiful she told dr,joy
15990,i have wanted to perhaps convey my feelings of a matter instead of my thoughts and have rejected it because i have thought feelings in the matter irrelevant,sadness
15991,i moved away he said something that made me feel violent but its something i still cant make out,anger
15992,i most days feel like if braeden and calvin are happy then it has been a successful day,joy
15993,i feel so sympathetic empathetic towards them,love
15994,i just had a very brief time in the beanbag and i said to anna that i feel like i have been beaten up,sadness
15995,i am now turning and i feel pathetic that i am still waiting tables and subbing with a teaching degree,sadness
15996,i feel strong and good overall,joy
15998,i know a lot but i feel so stupid because i can not portray it,sadness
15999,im feeling rather rotten so im not very ambitious right now,sadness
16000,im updating my blog because i feel shitty,sadness
16001,i never make her separate from me because i don t ever want her to feel like i m ashamed with her,sadness
16002,i left with my bouquet of red and yellow tulips under my arm feeling slightly more optimistic than when i arrived,joy
16003,i was feeling a little vain when i did this one,sadness
16004,i cant walk into a shop anywhere where i do not feel uncomfortable,fear
16005,i felt anger when at the end of a telephone call,anger
16006,i explain why i clung to a relationship with a boy who was in many ways immature and uncommitted despite the excitement i should have been feeling for getting accepted into the masters program at the university of virginia,joy
16007,i like to have the same breathless feeling as a reader eager to see what will happen next,joy
16009,i don t feel particularly agitated,fear
16011,i pay attention it deepens into a feeling of being invaded and helpless,fear
16012,i just feel extremely comfortable with the group of people that i dont even need to hide myself,joy
16013,i find myself in the odd position of feeling supportive of,love
16014,i was feeling as heartbroken as im sure katniss was,sadness
16015,i feel a little mellow today,joy
16016,i feel like my only role now would be to tear your sails with my pessimism and discontent,sadness
16017,i feel just bcoz a fight we get mad to each other n u wanna make a publicity n let the world knows about our fight,anger
16018,i feel like reds and purples are just so rich and kind of perfect,joy
16020,i feel like ive gotten to know many of you through comments and emails and for that im appreciative and glad you are a part of this little space,joy
16021,i survey my own posts over the last few years and only feel pleased with vague snippets of a few of them only feel that little bits of them capture what its like to be me or someone like me in dublin in the st century,joy
16022,i also tell you in hopes that anyone who is still feeling stigmatized or ashamed of their mental health issues will let go of the stigma let go of the shame,sadness
16023,i don t feel guilty like i m not going to be able to cook for him,sadness
16024,i hate it when i feel fearful for absolutely no reason,fear
16025,i am feeling outraged it shows everywhere,anger
16027,i do feel insecure sometimes but who doesnt,fear
16029,ive been missing him and feeling so restless at home thinking of him,fear
16030,i posted on my facebook page earlier this week ive been feeling a little grumpy and out of sorts the past few days,anger
16031,i start to feel emotional,sadness
16032,i feel so cold a href http irish,anger
16033,i feel like i m defective or something for not having baby fever,sadness
16034,i feel more virtuous than when i eat veggies dipped in hummus,joy
16035,i feel very honoured to be included in a magzine which prioritises health and clean living so highly im curious do any of you read magazines concerned with health and clean lifestyles such as the green parent,joy
16036,i spent the last two weeks of school feeling miserable,sadness
16037,im feeling very peaceful about our wedding again now after having,joy
16038,i had been talking to coach claudia barcomb and coach ali boe for a long time and they both made me feel very welcomed at union,joy
16039,i feel if i completely hated things i d exercise my democratic right speak my mind in what ever ways possible and try to enact a change,anger
16041,i feel reassured that i am dealing with my diet in the right way and that all is good,joy
16042,i feel i have to agree with her even though i can imagine some rather unpleasant possible cases,sadness
16043,im in such a happy mood today i feel almost delighted and i havent done anything different today then i normally have it is wonderful,joy
16044,im feeling really out of place and irritated,anger
16046,i feel like i had a rather productive weekend and i cant always say that no matter how much i get done,joy
16047,im feeling insecure at the moment,fear
16048,i was feeling pretty anxious all day but my first day at work was a very good day and that helped a lot,fear
16049,i stood up to you i finally stood up to you and now i feel like im being punished if i could go back and do it again,sadness
16050,i feel a little nervous i go to the gym,fear
16051,i feel like i could go into any situation and become successful because i ve been competing all my life explained schaub in an interview with the a href http bleacherreport,joy
16052,i can t stop the anxiety i feel when i m alone when i ve got no distractions,sadness
16053,im trying to feel out my house style now that im living on my own and have creative carte blanche,joy
16055,i had every intention of doing more gardening this morning while it was still cool but i was just feeling so rotten,sadness
16056,i have a good feeling about this so i am excited,joy
16059,i woke up yesterday monday morning feeling a little depressed,sadness
16060,i feel so embarrassed,sadness
16062,i can honestly say that after each sistahs chat i feel invigorated and blessed,joy
16063,i still feel stupid to be in that class this is all cause off pbss fault,sadness
16064,i feel a little stunned but can t imagine what the folks who were working in the studio up until this morning are feeling,surprise
16065,i admit im feeling a little bit unloved at this point,sadness
16067,im feeling pretty anxious,fear
16068,i feel shocked and sad at the fact that there are so many sick people,surprise
16069,i think they have always been proponents of the idea and it is just slightly possible that his feelings for a particularly charming new england girl have brought him around to their way of thinking,joy
16070,i feel like a naughty school girl because i am falling behind,love
16071,i am right handed however i play billiards left handed naturally so me trying to play right handed feels weird,surprise
16072,i can feel that they are kind friendly and can understand my feelings,joy
16074,i feel disgusted in any man in power who talks about electricity being a problem in his area and says even my own house has similar problems,anger
16075,i feel transcendant and splendid,joy
16076,i finally arrived home a couple of hours later feeling somewhat exhausted dehydrated and even sun burnt,sadness
16077,i am feeling totally relaxed and comfy,joy
16078,i want each of you to feel my gentle embrace,love
16079,i feel privileged in my world,joy
16080,i am not a people person but for some fuckin reason people feel that they can come bore me with their fuckin petty garbage,anger
16081,i realized my mistake and i m really feeling terrible and thinking that i shouldn t do that,sadness
16082,i suppose i feel too trusting sometimes,joy
16083,i came home waiting for the shower read something which made me upset thats why i feel discontent haha,sadness
16084,i woke up feeling crappy tired and fighting this feeling all day maybe it is all the pollen the barometric pressure i dont know i know i was off kilter,sadness
16085,i feel like i am in paradise kissing those sweet lips make me feel like i dive into a magical world of love,joy
16086,i am feeling so happy,joy
16087,i am running at an approximate minute pace which i feel is quite acceptable,joy
16088,i feel so disappointed when my ex girlfriend doesn t call me back,sadness
16089,i have a feeling that people are using it more than they need to and enjoying the feeling as it flies carefree off the tongue but that is alright with me,joy
16090,i am feeling uncertain of the merits of posting to this blog with the frequency or earnestness i had been over the previous year,fear
16092,i was feeling weird the other day and it went away about minutes after i took my metformin,fear
16094,im feeling angry at someone i do something thoughtful for her and my feelings toward her soften,anger
16095,i love neglecting this blog but sometimes i feel for my faithful readers,love
16097,i feel my heart is tortured by what i have done,anger
16098,i was still feeling weepy and strung out so maggie treated me to ice cream and a movie a href http www,sadness
16100,i journaled about my tendency to sometimes overcommit myself which can make me feel exhausted and overwhelmed,sadness
16101,i started out feeling discouraged this morning,sadness
16102,i feel agitated with myself that i did not foresee her frustrations earlier leading to the ending of our relationship,fear
16103,i grab it from the air its smooth frame feels cold to the touch,anger
16104,i was angry at my boyfriend who had promised to come to see me but did not because he spent the evening with his pals,anger
16105,i hate that i m sitting here at the hostel writing this and feeling so perfectly fine and than i get home and it s me and my problems and a wall,joy
16106,i do exercise i feel energetic and i am able to perform my other tasks in a very good manner,joy
16107,i looked at mabel this morning i named my left breast mabel my right one is hazel and i feel this weird mixture of anger and loss valerie wrote less than a month after her diagnosis,fear
16108,im feeling pretty disheartened by the whole thing,sadness
16109,i feel that an input from me will be valued as being less potent than say that of irfan pathan,joy
16110,i feel is he generous,love
16111,i even feel a little shaky,fear
16112,i am feeling better though i dont sound it,joy
16113,i always feel troubled when we re on the road touring living in a van or more recently in the circus buses no place to hang my hat as the song lyric has it,sadness
16114,i feel our world then was a much more innocent place,joy
16115,i feel thoroughly virtuous even if the daily trip to the compost bin isn t the most pleasant experience,joy
16116,im not feeling anything suspicious really,fear
16118,i feel like i know who most of them are by now and am starting to develop my likes and dislikes though i have not been keen on the snap evictions they have seemed pretty pointless the first one to go returned and the two webmates made absolutely zero impact on me so they won t be missed,joy
16119,i feel less whiney since the sun came out here in the sf area,sadness
16120,made a wonderfull new friend,joy
16121,i feel almost embarrassed to mention the single redshank and common sandpiper but there again who would not want to mention the lone wood sandpiper present at the waters edge,sadness
16123,i would feel awful if she was here this whole time,sadness
16124,i feel very mislead by someone that i really really thought i knew and liked very much so,love
16125,i feel like we are doomed us humans,sadness
16126,i am going to have to check on in just a few minutes but there is this clock up above the screen that keeps ticking down the minutes i have left so am feeling a bit frantic,fear
16127,i got the sleep but if i could choose not to be woken up by an alarm i d definitely take that over anything it makes me feel so groggy,sadness
16128,ive been boring for few weeks and feeling a bit gloomy cause of the rainy days,sadness
16129,i feel that this information is vital to moving on with your day and you re not complete until you read it,joy
16130,im feeling generous today heres one more you may have already seen but is good for a chuckle,love
16131,i will feel awkward about just calling up one of these people out of the blue to hang out or rather to be familiar with them on a deeper level they are not my kith and kin,sadness
16133,i get it crumble but thanks for feeling the need to tell me that im the one who is fucked up,anger
16134,i am controlling the growth of this business and every time i post work for a client i feel even more determined to make it a full time business one day,joy
16135,i was pregnant with dean i spent the rest of my pregnancy feeling terrified about having another baby,fear
16136,i actually feel agitated which led to a terrible day yesterday in which i was unable to concentrate on anything and basically piddled the day away,anger
16137,i have an ed i will tell you that i know i shouldn t feel shamed of eating a protein bar for breakfast and the fact that i ate one isn t what makes me shameful it s the fact i didn t make it is what made me hang my head and tuck tail,sadness
16138,i feel radiant bright accomplished and happy,joy
16139,i feel refrigerator magnets that were so popular a few years ago,joy
16140,i am feeling very touch deprived with all that has been happening,sadness
16141,i am feeling apprehensive about it but also wildly excited,fear
16142,i was feeling pretty relaxed by the time i boarded the very new looking airbus and headed into the hazy sky en route to honolulu,joy
16143,i am a quiet person but what i have to say i feel is important,joy
16144,i think i started to feel a little homesick,sadness
16145,i am feeling eager to start doing some work the man who works there literally says so uhm you guys want to go in back and see if we can find anything to do,joy
16146,i feel uncomfortable since i have a smaller rib cage and a bigger chest either i am spilling over the top of the tank or the elastic band support is too tight or too loose,fear
16147,im feeling reluctant to exit my freshly cleaned apartment which i stayed up cleaning late last night,fear
16148,i feel that i need to know that i can depend on myself before i put myself in the position of supporting someone else and being supported by someone else,love
16149,im feeling rather angsty and listless,sadness
16150,i try my best to love on them shed some light but i feel deeply compassionate with their problems and hurt even if its someone in the media,love
16151,i was so uncomfortable and feeling weird feelings but wasn t sure if they were contractions since i never really felt contractions with jared until they jacked me up with pitocin,surprise
16152,i feel gloomy and tired,sadness
16153,i really like this person feel that the question was really asked out of a sincere place of love and concern about how to move forward in light of what the sexuality study recently a href http www,joy
16154,i would force myself to eat my normal routine clean meals a day but then i just started feeling so awful,sadness
16155,i feel rather privileged to have witnessed the great man in action it really was impossible for a novice like me to work out just which one of the four identical looking riders was he,joy
16156,i feel like im at the spa getting a wonderful facial when i use them,joy
16157,i feel petty all of a sudden,anger
16159,i feel slightly disgusted as well,anger
16161,i feel slightly relaxed being a,joy
16162,i feel shy to admit that i was struggling to haul a single computer up,fear
16163,i just went about my script of would you like mustard or sauce with that and started to feel really startled,fear
16164,i enjoy my colleagues i m not feeling very sociable today,joy
16165,im feeling and if ive liked being pregnant,love
16166,i then feel your tender touch as you enfold me with his love,love
16168,i have had no interest at all to make any effort to meet men and when the chance arrises i then feel burdened with negative thoughts of he ll just be another idiot only after one thing,sadness
16169,i feel i m being nutritionally supportive of it as well,love
16170,i feel impatient i just post a blog entry and i feel ive gotten some words written and out into the world,anger
16171,i am trying my hardest so i can get to a place where i can join you and finally feel like i have something worthwhile to say,joy
16172,i have to admit i feel amused when i see the pti jamiat and a whole lot of others in the media try to avoid the suggestion that they are actually protesting the use of sharia in the case of raymond davis s release,joy
16173,i feel embarrassed that it got so bad,sadness
16174,im feeling really bitter about this one,anger
16175,i feel brave today heading to amman and beirut by way of istanbul or i feel brave today a href http jessicadickinsongoodman,joy
16176,i had a fab christmas and an amazing new year with my family and friends and against all odds i feel very optimistic about,joy
16177,i feel like a loser everyone says they lost but i dont i know exactly where i am i just hate being here oh,sadness
16178,i feel defeated but others i feel refreshed,sadness
16179,i was feeling particularly vulnerable in a specific area so i began to talking to my friends and interestingly enough there was an incredible understanding of my struggle,fear
16180,i go onto the officer down memorial page and reflect on my feelings about that wonderful officer which seems to make me feel a little better,joy
16181,im with a group of people i still feel isolated and on the outside looking in,sadness
16182,i feel blessed to know this family,love
16183,i feel terrified because my landlord has not changed our locks yet,fear
16185,i don t like eating meals that feel too virtuous,joy
16186,i left feeling pretty thrilled for the opportunity to at least throw my name in the hat,joy
16187,i feel kinda weird when andrea tries to talk to me about chris,fear
16188,i loved about ellie is that she didnt feel insulted by all the rude douche baggy things lothaire said to her because according to ellie insults only hurt when they come from somebody you respect damn straight,anger
16189,i feel was pretty triumphant,joy
16191,i am being over dramatic but i do feel very strongly for her and i am resolved to speak with her next chance i get,joy
16192,i really dont like quinn because i feel like she will just end up hurting barney and i hated the lame ted robin storyline,anger
16193,i feel so lousy but i shouldnt be focusing on me now,sadness
16194,i cant remember ever feeling so exhausted it took trips with the car on the last day to get everything brought to the trailer,sadness
16195,i wrote two years ago so many things i feel unsure of maybe,fear
16196,i feel suspicious of informality and a lack of credentials,fear
16197,i receive every month make me proud and feel appreciative,joy
16198,i feel that third situation pretty much sums up my feelings toward this title,joy
16199,i wanted to feel him in my hands and reached out to take him into my waiting eager mouth,joy
16200,i feel more gentle that way wth,love
16201,i got home feeling hot tired and great,love
16202,i feel more creative,joy
16203,i feel so talented i can use a computer,joy
16204,i feel unfathomably rich in having had a healthy pregnancy so far,joy
16205,i wish to know whether i should feel sympathetic towards the airline american if say their plane is on fire or their pilot has exploded or whether i should want to set them on fire if say they just decided to walk on their obligations to save money,love
16206,i don t want them to feel so pressured,fear
16207,i still feel frightened of the world yet no where near as much as i used to,fear
16208,im not feeling mellow,joy
16209,i wake too early so i feel grumpy,anger
16210,i believe you all will come to my work place and just try to make me feel humiliated but you know what deep down in my heart i know who is the one who should be ashamed of themselves,sadness
16211,i did finally get it if you didn t laugh left me feeling delighted exhausted and just so privileged,joy
16212,i was remembering this i was feeling skeptical,fear
16213,i have some pretty brazen goals and each day i feel stronger and more confident that i m going to reach my desired end result,joy
16214,i feel dirty talking to people for my personal gain,sadness
16215,i sat there cold i flashed back to going to the hockey city classic and the degree weather and it feeling just as cold even though there was about a degree difference this night,anger
16216,i feel numb as i carry on and i wonder if i will get over it,sadness
16217,i was somewhat coerced into this blog review so i feel a bit rushed and flustered,anger
16219,im not sure how i feel about needing to exercise so as to maintain a pleasant demeanor,joy
16220,i feel alarmed,fear
16221,i think i wanted audiences to feel impressed inspired or entertained when i was on stage,surprise
16223,i have these terrible feelings that i hyped myself up to be more talented than i am,joy
16224,i do take on a half marathon challenge then i will wait and see how the body feels as to whether there will be a pb attempt or a casual kilometre shuffle,joy
16225,i couldn t help but feel pissed off at both sides of the debate and the unnecessary dichotomy itself,anger
16226,i feel like i cant be respected if i have self respect because it is so regular to now hate your self,joy
16227,i smiled at him feeling his longing and said maybe later buddy but i have to make lunch now,love
16228,i am truly unfortunate the majority of the time i m usually drained but i obtain it hard to get from bed i really feel restless and others,fear
16229,i am feeling rather damaged,sadness
16230,i said i feel ugly today,sadness
16231,i left my garmin on my bike so i was going to have to do this by feel coming out of transition its amazing hearing cheers and your adrenaline is just going crazy,joy
16232,i feel so smart when i find ways to trick myself like this,joy
16233,i love to dance but often feel inhibited by my own body unsure what i am capable of hyper concerned about other people watching me and having opinions on my style or just feeling awkward as if i have no idea what i am supposed to do here,fear
16234,i feel like cards are the perfect thing to make with them,joy
16236,i just feel safer than working part time casual at hr,joy
16237,i was ambushed again it was apparently my fault again i feel worthless,sadness
16238,i feel privileged to be a part of something so eternal and so precious to the lord jesus he shed his blood so that churches like this could exist,joy
16239,i feel wholly inadequate to the task before me,sadness
16240,i have a feeling this is a bit naughty scanning an article from a magazine but i know that so many people would love to read thi,love
16241,i see you on the pitchers mound at our little league diamond i feel so anxious for you because it looks so isolated over there,fear
16242,i feel like i am joining the masses which goes against my rebellion of the popular mentality ha i m so goth but i take peace in knowing that i am not making the same resolutions as everyone else,joy
16243,i feel disillusioned with the occult so i have come to feel a greater connection to the earth,sadness
16244,i feel stupid whenever this happens,sadness
16245,i come home and feel so shitty i cant bring myself to do all the work i need to do,sadness
16246,i feel like my irritable sensitive combination skin has finally met it s match,anger
16247,i like it though its very over the top but makes me feel clever by association,joy
16248,i will practice meditation if i feel overwhelmed and hopefully become successful in peaceful practice,surprise
16249,i feel like it was all in vain cant be right and feel this wrong this heart of mine is just,sadness
16251,i feel so guilty for putting my child in daycare,sadness
16252,i get frustrated that unresolved issues from my past have had a severe negative effect on my behavior and feel he must be angry that i have not resolved them by now,anger
16253,i feel blessed beyond blessed to share my life with you each week,love
16254,i feel devastated over things that i have lost i will remind myself to be grateful for what i still have,sadness
16255,im feeling energetic,joy
16258,i feel really bothered about the lack of time i get to find inspiration,anger
16259,i used to be able to hang around talk with the cashier when i was putting away my money now i feel rushed and stressed if i take a second to fumble with the coins and put them in my purse,anger
16260,i feel frustrated or the world around me lies shattered i just go and walk in the rain so that no body could see my eyes full of tears this is the delivery system of justice as conceptualized by our courts which we are learning the hard way,anger
16261,i realized what i am passionate about helping women feel accepted and appreciated,joy
16262,i could change the emphasis and say i am stella and i m noticing i m feeling impatient,anger
16263,i don t like outsourcing because i m a picky sod and usually end up feeling dissatisfied with the work of others but i have to force myself to outsource because you need to realize you can t do everything yourself,anger
16264,i feel so blessed and honored that we get to be its parents,love
16265,i do feel welcomed but it s a little weird,joy
16266,i feel like i entertained sd all day,joy
16267,ive struggled mightily through today and even though i feel cranky and tired and unmotivated still i really am not going to be going to sleep before eleven thirty,anger
16268,i remember sitting out on the porch feeling drained and alone even as sunlight bathed my hair in warm radiance and a light breeze cooled my cheeks,sadness
16269,i didnt feel i rushed things dhawan tweet script type text javascript src http platform,anger
16270,i realized i was feeling really irritated while i was saying that,anger
16271,i am balancing on my hands with my feet hanging over and it feels like pretty far and im terrified to let them drop but im totally calm at the same time hanging here,fear
16272,i feel so fucking worthless,sadness
16273,i feel like a lot of men are royally fucked up and go through life wreaking havoc and end up destroying themselves in the process,anger
16274,i feel devastated that my art style can be copied,sadness
16275,i feel fine about feeling well fine,joy
16276,i can only begin to feel how distraught she must be,fear
16277,i also didnt feel i could be mad at god because i know inside me that god does nothing without a purpose,anger
16278,i think we were both feeling a little drained from work as well,sadness
16279,i gather supplies and start to check her progress via internal exam the head midwife prepares to start an iv and calmly asks others for more assistance i feel reassured by her calmness,joy
16280,i feel crappy i eat crappy,sadness
16281,i feel more of numb now,sadness
16282,i feel extremely honoured to have received such a prestigious award,joy
16283,im feeling adventurous and successful in my quest so far,joy
16284,i feel so thrilled to have three such distinguished individuals such as yourselves here,joy
16285,i figured my parents wont make me feel accepted so i stopped trying i turned to romantic relationships with men,love
16286,i was left feeling empty,sadness
16287,i feel pretty much like this scene from a href http www,joy
16288,i may not have really been feeling superior but i certainly was feeling that i had the answers wasnt i,joy
16289,i just feel are ludicrous and wasting space or so trite they should have looked at the book first and come up with something a little more original,surprise
16290,i feel like a wimpy canoe floating towards a rising tsunami,fear
16291,i feel sympathetic towards her she was tired and weary and i can see how a split second doubt could make the effortless action of standing still seem like the better option,love
16292,i start to feel unloved and unappreciated,sadness
16293,i just want to know the feeling of loving and be loved,love
16294,i feel strange talking about less serious things right now like cooking,fear
16295,i sometimes have urges to just freak out because i feel so bothered and usually nothing has caused me to feel bothered or irritated i scratch my arms when i m mad,anger
16296,i feel miserable and he doesnt care,sadness
16297,i am not surprised cause its like ok when you feel crappy and it just continues for like days or so you really try to avoid getting that sickness again,sadness
16298,im feeling slightly irritable today,anger
16299,i like to add things that i already completed in my day to a new list just to feel more productive when i cross them off,joy
16300,i always feel rushed during these emails which i dont like but asa este,anger
16301,i feel like now its more of sweet apple now,love
16302,i was so impressed with the show especially for hs and i was moved by these talented kids but then again i feel very passionate about productions and music and theatre in schools so i am always happy to endorse many hs productions throughout their seasons during this time,love
16303,i feel like i should be supporting them somehow but im not sure how,joy
16304,i have a lot going on in my life and feel overwhelmed,fear
16305,i took for granted a few weeks ago is really weird and makes me feel really agitated and frustrated,anger
16307,i know what you mean about feeling agitated,fear
16308,i am feeling pressured to blog the bad,fear
16309,i feel like being sociable and just aaaah,joy
16310,i didnt feel at all deprived having it in my chai this morning,sadness
16311,i was feeling very unsure of myself and at near breaking point,fear
16312,i remember leaving church feeling invigorated every sunday and tuesday night,joy
16313,i will nolonger tell anybody how i feel or what im thinking cause all it seems to do is get me more hated than i already am,sadness
16314,i asked her what she meant by shes gonna feel jealous having loada of girls over me and then she said maybee i do like you a bitt,anger
16315,i feel that i am supporting the troops by demanding that we not send our young men and women into harm s way to bear arms against a country that has done nothing to threaten us at any point,love
16316,i feel all funny sometimes,surprise
16317,i am feeling crampy and cranky,anger
16318,i indicated then i was feeling quite overwhelmed with work responsibilities teaching traveling and writing,fear
16319,i just say that i am not even feeling embarrassed when i pause and rewind my dvred commercials if the breaking dawn preview comes on,sadness
16320,i spend a lot of time feeling disappointed with myself for not doing a better job at attaining my goals,sadness
16322,i feel more thankful being greeted by many friends and families,joy
16323,i no longer feel doomed to falling into the abyss with no way out,sadness
16325,i just can t feel accepted,love
16326,ive a feeling briar beagle would give me one of her disgusted looks if i even tried exercising her in these souless surroundings,anger
16328,i just got up from a nap feeling really rotten so exhausted that i feel like i could just wilt onto the floor just sitting here,sadness
16329,i feel very indecisive about it,fear
16330,i feel if the pressure vessel has been seriously damaged then far more radiation would have leaked he said,sadness
16331,i have better things to do than to feel humiliated,sadness
16332,i feel check the wonder in all that you see you ve got to get loving unconditionally,love
16333,ive been feeling a bit melancholy,sadness
16334,i believe that feeling accepted in a non judgemental way can be healing,joy
16335,i do feel stressed,sadness
16336,i feel benevolent enough to buy them some peanuts and other treats,joy
16337,i feel fine class pin it button count layout horizontal pin it,joy
16338,i feel so worthless and useless these past weeks just because im a certified by stander at home,sadness
16339,i feel immensely distracted by the barrage of media i receive solicit,anger
16340,ive been feeling from my adoring fans that would be teh whole like of you who are my friends here i felt brave and excited and ventrured forth with guitar in hand to a local open mic night,love
16341,i love and captured an atmospheric feeling in their landscapes that really impressed me,surprise
16342,is hand started fondling his aching cock through the fabric of his boxers and he instinctively arched his back to feel more of the delicious sensation,joy
16343,i am feeling energized productive and creative,joy
16344,i am feeling lucky to have him,joy
16345,i feel is vital to keeping my spirit young even as my body fades,joy
16346,i feel agitated and annoyed more than worried or fearful but these feelings can easily lead to being short tempered with my family and feelings of disharmony,fear
16347,i still feel scared every time i go into a strange place,fear
16348,i don t feel the author s talented,joy
16349,i feel so jaded and bored,sadness
16350,im pretty sure and its been about a week and a half so although im feeling kind of betrayed and disillusioned by men at the moment everythings okay,sadness
16351,i feel like ive lost my mind,sadness
16352,i could feel his breath on me and smell the sweet scent of him,joy
16353,i could just take my beliefs and feelings and lock them in a safe somewhere until i get my human life squared away i and just about everyone i know would be a lot happier or perhaps not,joy
16354,i am feeling sinfully horny this sunday morning,love
16355,i just feel like someone out there has to listen and be sympathetic and then,love
16358,i feel to aid other women with infertility disorders this valuable individual guidance is offered for a restricted number of people,joy
16363,im happy i feel out of energy and not very inspired to do my crafts,joy
16364,i was struck by the masculine feel of the strong graphics and deep colors in this months painting nighthawks by edward hopper,joy
16365,i feel like youre just not there some body that im trying to be affectionate with it feels like im molesting some stranger i dont even know,love
16366,i think it s the opposite i get to feel defeated because i was doing everything possible to keep baby healthy and my sugars in check,sadness
16368,i feel if i am nagged i stop caring,love
16369,i just feel totally useless today,sadness
16370,i feel honored to receive the grassroots preservation award,joy
16371,i feel contented just hearing him said that hellip,joy
16372,i am reminded of pavement yurusei yatsura and coheed and cambria without feeling offended that they have ripped them off,anger
16373,i feel no positive regard,joy
16374,im feeling a lot less ugly duckling and a lot more a href http,sadness
16375,i suppose if one was feeling generous one could say i was stressed by the elevator ride,joy
16376,im feeling kind of melancholy and really want to go home and cuddle up with my boys,sadness
16379,i feel afraid agn lol whats new,fear
16381,im feeling dazed and alot of things in my mind,surprise
16382,i feel so scared when the voices from there start to speak to me,fear
16383,i feel very honoured to have been part of the bond family and very much hope i have a chance to work with them again sometime in the future,joy
